Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,13-May-15,2522.9,2547,2547,2480.45,2523.1,2515.4,2510.43,931887,2339441725,53692,473256,50.78
TCS,EQ,14-May-15,2515.4,2520,2520,2485,2499,2499.25,2495.09,654525,1633096281,40174,381895,58.35
TCS,EQ,15-May-15,2499.25,2515,2532.4,2501,2511,2511.15,2512.17,730727,1835713057,32934,515976,70.61
TCS,EQ,18-May-15,2511.15,2514.1,2525.25,2497.1,2515.15,2520.4,2505.41,2253876,5646890603,50845,2006146,89.01
TCS,EQ,19-May-15,2520.4,2519.4,2530,2496.75,2512,2512.7,2511.97,978861,2458873706,37527,686093,70.09
TCS,EQ,20-May-15,2512.7,2520,2569.9,2516.9,2557,2557.05,2550.08,948907,2419790058,41995,571725,60.25
TCS,EQ,21-May-15,2557.05,2557,2580,2548.15,2551.9,2555.5,2565.83,789789,2026463608,40459,563782,71.38
TCS,EQ,22-May-15,2555.5,2550,2628.75,2539.25,2621.8,2617.9,2594.64,1345816,3491905915,52428,992008,73.71
TCS,EQ,25-May-15,2617.9,2620,2636.9,2585.7,2600.05,2601,2606.03,491489,1280833582,30375,263444,53.6
TCS,EQ,26-May-15,2601,2605,2623.25,2588.9,2614.95,2608.85,2610.17,980870,2560241038,34315,705361,71.91
TCS,EQ,27-May-15,2608.85,2608,2633.15,2592,2610,2615.25,2615.75,810345,2119662471,50501,600904,74.15
TCS,EQ,28-May-15,2615.25,2603.9,2623,2582.25,2615.9,2609.5,2606.6,1381804,3601809692,52267,1070716,77.49
TCS,EQ,29-May-15,2609.5,2617,2648.6,2597.25,2621.55,2610.3,2614.52,2211766,5782695515,83932,1686200,76.24
TCS,EQ,1-Jun-15,2610.3,2609.45,2647.1,2608.35,2615.2,2617.75,2622.43,441132,1156839898,35794,251151,56.93
TCS,EQ,2-Jun-15,2617.75,2616,2630,2590.5,2605,2599.9,2605.54,1967910,5127471871,54815,1605076,81.56
TCS,EQ,3-Jun-15,2599.9,2604,2625.6,2590.5,2612,2610.9,2611.6,902342,2356551997,41440,635538,70.43
TCS,EQ,4-Jun-15,2610.9,2617.1,2622.8,2588.5,2600.2,2605.65,2606.81,2065734,5384974460,44653,1816025,87.91
TCS,EQ,5-Jun-15,2605.65,2592,2609,2570,2577.5,2575.85,2583.52,1154267,2982066458,52168,848596,73.52
TCS,EQ,8-Jun-15,2575.85,2590,2590,2561.65,2580,2577.45,2576.28,785160,2022788959,62168,543370,69.21
TCS,EQ,9-Jun-15,2577.45,2585,2590,2551,2561.95,2561.65,2574.52,1289457,3319735633,63744,1099487,85.27
TCS,EQ,10-Jun-15,2561.65,2566,2610,2563.8,2600,2600.75,2586.57,1381675,3573803308,42817,1122720,81.26
TCS,EQ,11-Jun-15,2600.75,2605.5,2613,2556.75,2564.25,2571.3,2585.02,923668,2387698130,37803,658949,71.34
TCS,EQ,12-Jun-15,2571.3,2571.9,2588.95,2476.8,2520,2505.8,2526.7,1285728,3248652194,80056,700457,54.48
TCS,EQ,15-Jun-15,2505.8,2505.3,2520.45,2481,2509.5,2504.8,2503.06,1262588,3160335340,57691,1008687,79.89
TCS,EQ,16-Jun-15,2504.8,2500,2519.3,2494.45,2508,2512,2510.7,633698,1591026187,41162,481883,76.04
TCS,EQ,17-Jun-15,2512,2521,2529.15,2501.8,2512,2513.8,2516.05,987860,2485504053,88734,698348,70.69
TCS,EQ,18-Jun-15,2513.8,2515,2546.3,2508,2522,2530.05,2533.09,1082523,2742123536,83019,764949,70.66
TCS,EQ,19-Jun-15,2530.05,2535,2555,2527.1,2550,2549.55,2546.79,999805,2546296338,50051,769320,76.95
TCS,EQ,22-Jun-15,2549.55,2547,2600,2547,2598.3,2591.5,2587.1,551001,1425494777,43692,317646,57.65
TCS,EQ,23-Jun-15,2591.5,2600,2608,2567.2,2585.9,2574.6,2582.03,449159,1159740004,30619,280403,62.43
TCS,EQ,24-Jun-15,2574.6,2580,2587.9,2558.85,2568.7,2570.3,2573.22,585123,1505651662,39464,331254,56.61
TCS,EQ,25-Jun-15,2570.3,2562,2573,2544.15,2552,2550,2553.8,965496,2465682193,36543,728243,75.43
TCS,EQ,26-Jun-15,2550,2550.2,2596.35,2550.2,2590.1,2592.8,2579.82,645051,1664112382,34240,356380,55.25
TCS,EQ,29-Jun-15,2592.8,2572,2604,2543.4,2599,2592.9,2569.67,686378,1763768235,35008,263984,38.46
TCS,EQ,30-Jun-15,2592.9,2585,2588.75,2540,2555,2550.95,2557.03,774976,1981634326,34960,468575,60.46
TCS,EQ,1-Jul-15,2550.95,2563.9,2608,2556.75,2600,2593.1,2584.41,639854,1653643740,50229,405105,63.31
TCS,EQ,2-Jul-15,2593.1,2600,2602.95,2571.05,2582,2577.75,2583.81,722940,1867939584,63066,441786,61.11
TCS,EQ,3-Jul-15,2577.75,2573.05,2610,2570,2603.1,2603.9,2595.18,481735,1250190068,34612,263852,54.77
TCS,EQ,6-Jul-15,2603.9,2580.3,2645,2580.3,2629.7,2633.3,2613.46,591169,1544998843,31304,280866,47.51
TCS,EQ,7-Jul-15,2633.3,2632.75,2646.9,2603,2623.9,2616.25,2627.79,821418,2158510413,51719,531468,64.7
TCS,EQ,8-Jul-15,2616.25,2597.95,2621.7,2580.5,2591.7,2595.1,2596.66,1333925,3463745329,85552,956051,71.67
TCS,EQ,9-Jul-15,2595.1,2595,2598.25,2506.65,2529.35,2522.5,2540.37,1967061,4997069437,142048,1156795,58.81
